"Processors","mean1","std1","dist1","n1","dim1","mean2","std2","dist2","n2","dim2","matlab_time","matlab_bound"
20,1,20,normal,1000,4,80,40,normal,1000,4,164.17104,0.00108932934226459
20,1,20,normal,1000,4,80,40,normal,1000,4,246.915655,0.00108965276588311
20,1,20,normal,1000,4,80,40,normal,1000,4,161.28888,0.00108726608137661
20,1,20,normal,1000,4,80,40,normal,1000,4,161.94607,0.00109433497421941
20,1,20,normal,1000,4,80,40,normal,1000,4,179.310494,0.00108755233747365
8,1,20,normal,1000,4,80,40,normal,1000,4,258.76431,0.00108932934226459
8,1,20,normal,1000,4,80,40,normal,1000,4,258.218301,0.00108965276588311
8,1,20,normal,1000,4,80,40,normal,1000,4,254.783469,0.00108726608137661
8,1,20,normal,1000,4,80,40,normal,1000,4,256.634598,0.00109433497421941
8,1,20,normal,1000,4,80,40,normal,1000,4,256.463907,0.00108755233747365
12,1,20,normal,1000,4,80,40,normal,1000,4,261.069727,0.00108932934226459
12,1,20,normal,1000,4,80,40,normal,1000,4,260.370322,0.00108965276588311
12,1,20,normal,1000,4,80,40,normal,1000,4,257.952318,0.00108726608137661
12,1,20,normal,1000,4,80,40,normal,1000,4,261.239243,0.00109433497421941
12,1,20,normal,1000,4,80,40,normal,1000,4,261.84473,0.00108755233747365
16,1,20,normal,1000,4,80,40,normal,1000,4,261.795992,0.00108932934226459
16,1,20,normal,1000,4,80,40,normal,1000,4,258.148256,0.00108965276588311
16,1,20,normal,1000,4,80,40,normal,1000,4,258.834676,0.00108726608137661
16,1,20,normal,1000,4,80,40,normal,1000,4,260.119241,0.00109433497421941
16,1,20,normal,1000,4,80,40,normal,1000,4,258.16272,0.00108755233747365
1,1,20,normal,1000,4,80,40,normal,1000,4,308.934881,0.00108932934226459
1,1,20,normal,1000,4,80,40,normal,1000,4,307.881524,0.00108965276588311
1,1,20,normal,1000,4,80,40,normal,1000,4,308.462256,0.00108726608137661
1,1,20,normal,1000,4,80,40,normal,1000,4,307.913583,0.00109433497421941
1,1,20,normal,1000,4,80,40,normal,1000,4,305.976982,0.00108755233747365
2,1,20,normal,1000,4,80,40,normal,1000,4,307.385127,0.00108932934226459
2,1,20,normal,1000,4,80,40,normal,1000,4,304.71942,0.00108965276588311
2,1,20,normal,1000,4,80,40,normal,1000,4,307.453777,0.00108726608137661
2,1,20,normal,1000,4,80,40,normal,1000,4,307.157807,0.00109433497421941
2,1,20,normal,1000,4,80,40,normal,1000,4,309.492778,0.00108755233747365
4,1,20,normal,1000,4,80,40,normal,1000,4,310.420313,0.00108932934226459
4,1,20,normal,1000,4,80,40,normal,1000,4,307.099581,0.00108965276588311
4,1,20,normal,1000,4,80,40,normal,1000,4,307.534695,0.00108726608137661
4,1,20,normal,1000,4,80,40,normal,1000,4,309.810215,0.00109433497421941
4,1,20,normal,1000,4,80,40,normal,1000,4,306.025642,0.00108755233747365
28,1,20,normal,1000,4,80,40,normal,1000,4,140.53015,0.00108932934226459
28,1,20,normal,1000,4,80,40,normal,1000,4,138.626852,0.00108965276588311
28,1,20,normal,1000,4,80,40,normal,1000,4,138.923455,0.00108726608137661
28,1,20,normal,1000,4,80,40,normal,1000,4,139.525061,0.00109433497421941
28,1,20,normal,1000,4,80,40,normal,1000,4,138.63157,0.00108755233747365
24,1,20,normal,1000,4,80,40,normal,1000,4,143.12579,0.00108932934226459
24,1,20,normal,1000,4,80,40,normal,1000,4,139.799879,0.00108965276588311
24,1,20,normal,1000,4,80,40,normal,1000,4,142.478938,0.00108726608137661
24,1,20,normal,1000,4,80,40,normal,1000,4,143.900627,0.00109433497421941
24,1,20,normal,1000,4,80,40,normal,1000,4,141.613873,0.00108755233747365
32,1,20,normal,1000,4,80,40,normal,1000,4,159.155199,0.00108932934226459
32,1,20,normal,1000,4,80,40,normal,1000,4,153.715569,0.00108965276588311
32,1,20,normal,1000,4,80,40,normal,1000,4,191.243857,0.00108726608137661
32,1,20,normal,1000,4,80,40,normal,1000,4,140.248469,0.00109433497421941
32,1,20,normal,1000,4,80,40,normal,1000,4,139.547657,0.00108755233747365
40,1,20,normal,1000,4,80,40,normal,1000,4,141.425824,0.00108932934226459
40,1,20,normal,1000,4,80,40,normal,1000,4,139.942128,0.00108965276588311
40,1,20,normal,1000,4,80,40,normal,1000,4,140.269757,0.00108726608137661
40,1,20,normal,1000,4,80,40,normal,1000,4,140.843406,0.00109433497421941
40,1,20,normal,1000,4,80,40,normal,1000,4,139.473677,0.00108755233747365
36,1,20,normal,1000,4,80,40,normal,1000,4,159.987294,0.00108932934226459
36,1,20,normal,1000,4,80,40,normal,1000,4,170.466864,0.00108965276588311
36,1,20,normal,1000,4,80,40,normal,1000,4,141.386185,0.00108726608137661
36,1,20,normal,1000,4,80,40,normal,1000,4,142.257915,0.00109433497421941
36,1,20,normal,1000,4,80,40,normal,1000,4,140.894208,0.00108755233747365
44,1,20,normal,1000,4,80,40,normal,1000,4,169.534497,0.00108932934226459
44,1,20,normal,1000,4,80,40,normal,1000,4,164.19387,0.00108965276588311
44,1,20,normal,1000,4,80,40,normal,1000,4,140.213786,0.00108726608137661
44,1,20,normal,1000,4,80,40,normal,1000,4,165.115488,0.00109433497421941
44,1,20,normal,1000,4,80,40,normal,1000,4,140.537873,0.00108755233747365
